Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
12350000,Sour cream dip,1,.25000,cup,.25000,.25000,1.00000,.04799,.00000,.04070,.00000,.00000,.00000,.04070,.00000,.00000,.00000,.00000,.00000,.00000,105.64850,1.57001,.00000,133.65000,7.36898
13110100,"Ice cream, regular",1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.29393,.00000,.00000,.00000,.00000,130.99968,95.20488,.00000,267.33000,9.03070
13110120,"Ice cream, rich",1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.25160,.09620,.00000,.00000,.00000,213.06672,96.10340,.00000,368.52000,15.28840
13110200,Soft serve ice cream,1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.38233,.00000,.00000,.00000,.00000,170.39808,123.83793,.00000,347.73000,11.74670
13120100,"Ice cream bar, chocolate covered",1,1.00000,bar (bar = 3 fl oz),1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.09744,.00000,.00000,.00000,.00000,112.32144,45.54761,.00000,169.12000,9.58720
13120100,"Ice cream bar, chocolate covered",2,1.00000,Klondike Krispy bar,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.16008,.00000,.00000,.00000,.00000,184.52808,74.82821,.00000,277.84000,15.75040
13120500,Ice cream sandwich,1,1.00000,sandwich,1.00000,.50000,.50000,.53454,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.09912,.00000,.00000,.00000,.00000,49.46265,48.40002,.00000,143.37000,3.23320
13130300,Light ice cream,1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.75980,.00000,.00000,.00000,.00000,45.60372,70.88353,.00000,216.15000,3.39290
13130600,Light soft serve ice cream,1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.71750,.00000,.00000,.00000,.00000,39.65850,.00000,.00000,220.50000,2.85250
13135000,Light ice cream sandwich,1,1.00000,sandwich,1.00000,.50000,.50000,.54360,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.26520,.00000,.00000,.00000,.00000,21.21120,41.22339,.00000,129.60000,1.36800
13140100,Light ice cream bar,1,1.00000,bar (bar = 3 fl oz),1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.25648,.00000,.00000,.00000,.00000,84.15288,37.81981,.00000,153.44000,7.72800
13140900,Light fudgesicle,1,1.00000,sicle (sicle = 2.5 fl oz),1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.40661,.00000,.00000,.00000,.00000,27.86337,37.92188,.00000,121.91000,2.03670
13150000,Sherbet,1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.11387,.21423,.00000,.00000,.00000,.04932,18.20376,151.04761,.00000,277.92000,2.23880
13150000,Sherbet,2,1.00000,push up,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.03894,.07326,.00000,.00000,.00000,.01687,6.22512,51.65359,.00000,95.04000,.76560
13160150,"Low fat, low sugar ice milk",1,1.00000,cup,1.00000,.25000,.25000,.04176,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.43344,.08928,.00000,.00000,.35200,7.97040,73.98561,.00000,152.64000,.89280
14104010,"Cheese (cheddar, Swiss)",2,.25000,cup shredded,.25000,.25000,1.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.66444,.00000,.00000,.00000,.00000,83.06347,.00000,.00000,113.84750,5.95793
14104010,"Cheese (cheddar, Swiss)",2,1.00000,cubic inch,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.39984,.00000,.00000,.00000,.00000,49.98510,.00000,.00000,68.51000,3.58530
14104400,Feta or goat cheese,1,.25000,cup crumbled,.25000,.25000,1.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.66150,.00000,.00000,.00000,.00000,70.62862,.00000,.00000,99.00000,5.60625
14104400,Feta or goat cheese,2,1.00000,wedge (wedge=1.3 oz),1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.67032,.00000,.00000,.00000,.00000,71.57034,.00000,.00000,100.32000,5.68100
14107030,Mozzarella cheese (part skim),1,1.00000,slice (slice = 1 oz),1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.66679,.00000,.00000,.00000,.00000,49.90734,.00000,.00000,85.61700,3.59194
14109030,Low fat cheddar or Swiss,2,.25000,"cup, shredded",.25000,.25000,1.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.95229,.00000,.00000,.00000,.00000,10.67985,.00000,.00000,48.00000,.89200
14109030,Low fat cheddar or Swiss,2,1.00000,cubic inch,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.52905,.00000,.00000,.00000,.00000,5.93325,.00000,.00000,27.00000,.49600
