Food,Portion,Unit,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
Sour cream dip,0.25,cup,0.04799,0,0.0407,0,0,0,0.0407,0,0,0,0,0,0,105.6485,1.57001,0,133.65,7.36898
"Ice cream, regular",1,cup,0,0,0,0,0,0,0,0,0.29393,0,0,0,0,130.99968,95.20488,0,267.33,9.0307
"Ice cream, rich",1,cup,0,0,0,0,0,0,0,0,0.2516,0.0962,0,0,0,213.06672,96.1034,0,368.52,15.2884
Soft serve ice cream,1,cup,0,0,0,0,0,0,0,0,0.38233,0,0,0,0,170.39808,123.83793,0,347.73,11.7467
"Ice cream bar, chocolate covered",1,bar (bar = 3 fl oz),0,0,0,0,0,0,0,0,0.09744,0,0,0,0,112.32144,45.54761,0,169.12,9.5872
Ice cream sandwich,1,sandwich,0.53454,0,0,0,0,0,0,0,0.09912,0,0,0,0,49.46265,48.40002,0,143.37,3.2332
Light ice cream,1,cup,0,0,0,0,0,0,0,0,0.7598,0,0,0,0,45.60372,70.88353,0,216.15,3.3929
Light soft serve ice cream,1,cup,0,0,0,0,0,0,0,0,0.7175,0,0,0,0,39.6585,0,0,220.5,2.8525
Light ice cream sandwich,1,sandwich,0.5436,0,0,0,0,0,0,0,0.2652,0,0,0,0,21.2112,41.22339,0,129.6,1.368
Light ice cream bar,1,bar (bar = 3 fl oz),0,0,0,0,0,0,0,0,0.25648,0,0,0,0,84.15288,37.81981,0,153.44,7.728
Light fudgesicle,1,sicle (sicle = 2.5 fl oz),0,0,0,0,0,0,0,0,0.40661,0,0,0,0,27.86337,37.92188,0,121.91,2.0367
Sherbet,1,cup,0,0,0,0,0,0,0,0.11387,0.21423,0,0,0,0.04932,18.20376,151.04761,0,277.92,2.2388
"Low fat, low sugar ice milk",1,cup,0.04176,0,0,0,0,0,0,0,0.43344,0.08928,0,0,0.352,7.9704,73.98561,0,152.64,0.8928
"Cheese (cheddar, Swiss)",0.25,cup shredded,0,0,0,0,0,0,0,0,0.66444,0,0,0,0,83.06347,0,0,113.8475,5.95793
Feta or goat cheese,0.25,cup crumbled,0,0,0,0,0,0,0,0,0.6615,0,0,0,0,70.62862,0,0,99,5.60625
Mozzarella cheese (part skim),1,slice (slice = 1 oz),0,0,0,0,0,0,0,0,0.66679,0,0,0,0,49.90734,0,0,85.617,3.59194
Low fat cheddar or Swiss,0.25,"cup, shredded",0,0,0,0,0,0,0,0,0.95229,0,0,0,0,10.67985,0,0,48,0.892
"Cottage cheese, creamed",0.5,cup,0,0,0,0,0,0,0,0,0.20055,0,0,0,0,42.2604,0,0,108.15,2.9925
Ricotta cheese,0.25,cup,0,0,0,0,0,0,0,0,0.5,0,0,0,0,56.93855,0,0,95.94,4.06515
Lowfat cottage cheese,0.5,cup,0,0,0,0,0,0,0,0,0.24973,0,0,0,0,9.92592,0,0,81.36,0.7345
Cream cheese (regular),1,Tablespoon,0,0,0,0,0,0,0,0,0,0,0,0,0,45.50535,0,0,50.605,3.18565
Low fat cream cheese,1,Tablespoon,0,0,0,0,0,0,0,0,0,0,0,0,0,23.76,0,0,34.65,1.6635
American cheese (processed),1,slice (slice = 3/4 oz),0,0,0,0,0,0,0,0,0.37044,0,0,0,0,48.56922,0,0,70.56,3.2697
Fat-free American cheese,1,slice (slice = 3/4 oz),0,0,0,0,0,0,0,0,0.49392,0,0,0,0,0.6237,0,0,31.08,0.105
Cheese spread or dip,1,slice Velveeta,0,0,0,0,0,0,0,0,0.60976,0,0,0,0,65.05101,4.11272,0,100.24333,4.60774
Cream cheese dip,2,Tablespoons,0,0,0.0036,0,0,0,0.0036,0,0,0.0066,0,0,0.49133,76.2912,0.28282,0,106.2,5.67
Cheese sauce,0.25,cup,0.12636,0,0,0,0,0,0,0,0.47871,0,0,0,0,70.91348,0,0,109.35,3.65107
"Cheese sauce, low fat",0.25,cup,0.11178,0,0.00061,0,0,0,0.00061,0,0.5589,0.00182,0,0,0,39.96196,0.3061,0,79.5825,1.69493
Alfredo sauce,0.25,cup,0,0,0,0,0,0,0,0,0.45502,0,0,0,0,223.76291,0,0,249.075,15.65527
Fried cheese sticks,3,"pieces or 4"" sticks",1.17744,0,0,0,0,0,0,0,2.60568,0.22044,0.00528,0,0.00381,273.537,4.39833,0,502.92,16.3548
Grilled steak (eat lean & fat),1,medium steak,0,0,0,0,0,0,0,0,0,6.74832,0,0,0,123.5628,0,0,516.12,11.9544
Grilled steak (eat lean only),1,medium steak,0,0,0,0,0,0,0,0,0,5.50212,0,0,0,5.967,0,0,307.32,4.7268
Fried steak (eat lean & fat),1,medium steak,0,0,0,0,0,0,0,0,0,6.04248,0,0,0,210.24036,0,0,587.52,12.9744
Fried steak (eat lean only),1,medium steak,0,0,0,0,0,0,0,0,0,5.3118,0,0,0,38.52576,0,0,358.8,4.8204
Breaded fried steak (eat lean & fat),1,medium steak,1.97559,0,0,0,0,0,0,0,0.04617,5.32899,0.00972,0,2.19672,242.86635,7.38598,0,801.9,16.1109
Breaded fried steak (eat lean only),1,medium steak,1.51032,0,0,0,0,0,0,0,0.03534,4.82856,0.00744,0,1.6802,53.85258,5.65347,0,515.22,6.9564
BBQ short ribs with sauce,1,medium rib,0.06375,0,0.00459,0,0,0,0.00459,0,0,0.93534,0,0,0.00057,28.05408,3.76345,0,107.61,2.4378
Roast beef (eat lean & fat),1,medium slice,0,0,0,0,0,0,0,0,0,1.34988,0,0,0,36.83232,0,0,111.72,2.8728
Roast beef (eat lean only),1,medium slice,0,0,0,0,0,0,0,0,0,1.48134,0,0,0,6.37686,0,0,82.74,1.3608
Beef brisket,1,"medium slice, 1/4 "" thick",0,0,0,0,0,0,0,0,0,1.4448,0,0,0,9.53316,0,0,96.6,1.7346
"Ground beef (75% lean, regular)",1,medium patty (4 per pound),0,0,0,0,0,0,0,0,0,2.6911,0,0,0,79.0704,0,0,234.6,6.137
Ground beef (80% lean),1,medium patty (4 per pound),0,0,0,0,0,0,0,0,0,2.81688,0,0,0,73.91736,0,0,236.72,5.8872
Low fat ice cream,1,cup,0.72199,0,0,0,0,0,0,0,0.35894,0.2329,0,0,0,11.61486,171.70839,0,228.79,0.822
Diet pudding (instant or canned),0.5,cup (4 fl oz),0.4901,0,0,0,0,0,0,0,0.4498,0,0,0,0.00087,10.0269,28.58916,0,105.3,0.754
Pudding (instant or canned),0.5,cup (4 fl oz),0.24665,0,0,0,0,0,0,0,0.45023,0,0,0,0,19.00341,57.78004,0,133.11,1.34415
"Pudding, no sugar added",0.5,cup (4 fl oz),0.54125,0,0,0,0,0,0,0,0.47375,0,0,0,0.00625,1.72125,0,0,81.25,1.1525
White sauce (cream sauce),0.25,cup,0.23438,0,0,0,0,0,0,0,0.24,0,0,0,0,58.13437,0,0,90.625,1.7125
Milk gravy,0.25,cup,0.195,0,0,0,0,0,0,0,0.24938,0,0,0,0,56.5425,0,0,88.125,2.775
Grilled cheese sandwich,1,sandwich,2.036,0,0,0,0,0,0,0,0.49,0,0,0,0.27,125.974,8.22,0,290,5.978
"Turkey lunch meat, fat free",1,ounce,0,0,0,0,0,0,0,0,0,0.9884,0,0,0,0,0,0,28.56,0.06552
Coffee,1,fast food (16 fl oz order),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0
